Libellé;idBank;Dernière mise à jour;Période;1970-T4;1971-T1;1971-T2;1971-T3;1971-T4;1972-T1;1972-T2;1972-T3;1972-T4;1973-T1;1973-T2;1973-T3;1973-T4;1974-T1;1974-T2;1974-T3;1974-T4;1975-T1;1975-T2;1975-T3;1975-T4;1976-T1;1976-T2;1976-T3;1976-T4;1977-T1;1977-T2;1977-T3;1977-T4;1978-T1;1978-T2;1978-T3;1978-T4;1979-T1;1979-T2;1979-T3;1979-T4;1980-T1;1980-T2;1980-T3;1980-T4;1981-T1;1981-T2;1981-T3;1981-T4;1982-T1;1982-T2;1982-T3;1982-T4;1983-T1;1983-T2;1983-T3;1983-T4;1984-T1;1984-T2;1984-T3;1984-T4;1985-T1;1985-T2;1985-T3;1985-T4;1986-T1;1986-T2;1986-T3;1986-T4;1987-T1;1987-T2;1987-T3;1987-T4;1988-T1;1988-T2;1988-T3;1988-T4;1989-T1;1989-T2;1989-T3;1989-T4;1990-T1;1990-T2;1990-T3;1990-T4;1991-T1;1991-T2;1991-T3;1991-T4;1992-T1;1992-T2;1992-T3;1992-T4;1993-T1;1993-T2;1993-T3;1993-T4;1994-T1;1994-T2;1994-T3;1994-T4;1995-T1;1995-T2;1995-T3;1995-T4;1996-T1;1996-T2;1996-T3;1996-T4;1997-T1;1997-T2;1997-T3;1997-T4;1998-T1;1998-T2;1998-T3;1998-T4;1999-T1;1999-T2;1999-T3;1999-T4;2000-T1;2000-T2;2000-T3;2000-T4;2001-T1;2001-T2;2001-T3;2001-T4;2002-T1;2002-T2;2002-T3;2002-T4;2003-T1;2003-T2;2003-T3;2003-T4;2004-T1;2004-T2;2004-T3;2004-T4;2005-T1;2005-T2;2005-T3;2005-T4;2006-T1;2006-T2;2006-T3;2006-T4;2007-T1;2007-T2;2007-T3;2007-T4;2008-T1;2008-T2;2008-T3;2008-T4;2009-T1;2009-T2;2009-T3;2009-T4;2010-T1;2010-T2;2010-T3;2010-T4;2011-T1;2011-T2;2011-T3;2011-T4;2012-T1;2012-T2;2012-T3;2012-T4;2013-T1;2013-T2;2013-T3;2013-T4;2014-T1;2014-T2;2014-T3;2014-T4;2015-T1;2015-T2;2015-T3;2015-T4;2016-T1;2016-T2;2016-T3;2016-T4;2017-T1;2017-T2;2017-T3;2017-T4;2018-T1;2018-T2;2018-T3;2018-T4;2019-T1;2019-T2;2019-T3;2019-T4;2020-T1;2020-T2;2020-T3;2020-T4;2021-T1;2021-T2;2021-T3;2021-T4;2022-T1;2022-T2;2022-T3;2022-T4
Emplois salariés trimestriels - Secteurs principalement marchands - Toutes sections hors A, O, P, Q et U - CVS - Série arrêtée;001577239;12/05/2017 00:00;;12409,6 (A);12418,8 (A);12485,6 (A);12576,1 (A);12628,8 (A);12689,0 (A);12735,9 (A);12815,4 (A);12922,1 (A);13009,7 (A);13079,2 (A);13173,2 (A);13257,5 (A);13338,4 (A);13371,7 (A);13356,8 (A);13279,7 (A);13229,6 (A);13188,5 (A);13165,1 (A);13201,2 (A);13265,1 (A);13344,5 (A);13413,7 (A);13453,5 (A);13489,2 (A);13499,8 (A);13548,6 (A);13601,0 (A);13590,9 (A);13602,0 (A);13580,2 (A);13594,6 (A);13597,8 (A);13629,2 (A);13661,1 (A);13663,9 (A);13690,7 (A);13664,0 (A);13645,9 (A);13624,6 (A);13612,5 (A);13518,6 (A);13451,5 (A);13510,2 (A);13517,0 (A);13580,7 (A);13587,1 (A);13572,2 (A);13539,9 (A);13507,8 (A);13484,5 (A);13435,9 (A);13370,4 (A);13297,6 (A);13258,8 (A);13206,8 (A);13186,1 (A);13176,7 (A);13175,5 (A);13198,1 (A);13207,8 (A);13231,1 (A);13233,5 (A);13209,7 (A);13214,5 (A);13260,3 (A);13276,6 (A);13305,1 (A);13372,4 (A);13431,3 (A);13507,6 (A);13599,7 (A);13705,6 (A);13788,1 (A);13853,0 (A);13964,7 (A);14014,7 (A);14071,6 (A);14080,8 (A);14110,0 (A);14110,8 (A);14047,5 (A);14031,4 (A);14022,6 (A);13999,9 (A);13950,7 (A);13893,4 (A);13783,0 (A);13698,7 (A);13611,9 (A);13564,8 (A);13559,2 (A);13586,6 (A);13643,9 (A);13726,5 (A);13748,8 (A);13800,0 (A);13841,0 (A);13882,0 (A);13889,9 (A);13895,3 (A);13899,0 (A);13906,1 (A);13934,4 (A);13991,4 (A);14029,6 (A);14092,3 (A);14191,7 (A);14287,5 (A);14456,5 (A);14532,3 (A);14549,1 (A);14674,2 (A);14765,4 (A);14884,4 (A);15012,5 (A);15160,6 (A);15323,4 (A);15481,7 (A);15596,6 (A);15730,7 (A);15780,7 (A);15830,7 (A);15849,3 (A);15896,0 (A);15886,9 (A);15892,7 (A);15885,3 (A);15858,3 (A);15831,9 (A);15794,5 (A);15812,6 (A);15797,7 (A);15815,3 (A);15812,0 (A);15836,7 (A);15862,3 (A);15877,7 (A);15900,0 (A);15929,7 (A);15953,2 (A);16042,8 (A);16103,9 (A);16124,0 (A);16254,2 (A);16296,3 (A);16351,6 (A);16386,8 (A);16437,3 (A);16369,3 (A);16327,3 (A);16201,9 (A);16043,1 (A);15971,6 (A);15936,8 (A);15948,4 (A);15932,5 (A);15937,3 (A);15974,8 (A);16004,5 (A);16044,9 (A);16081,8 (A);16070,0 (A);16060,9 (A);16063,1 (A);16036,9 (A);16000,7 (A);15954,0 (A);15928,7 (A);15880,3 (A);15910,5 (A);15929,5 (A);15909,2 (A);15914,5 (A);15870,0 (A);15886,4 (A);15877,2 (SD);15910,5 (SD);15933,5 (SD);15985,5 (SD);16029,4 (SD);16060,5 (SD);16110,9 (SD);16178,2 (SD);16227,7 (SD);(O);(O);(O);(O);(O);(O);(O);(O);(O);(O);(O);(O);(O);(O);(O);(O);(O);(O);(O);(O);(O);(O);(O)
Emplois salariés trimestriels - Industrie - Sections B, C, D et E - CVS;001577235;09/03/2023 07:30;;5440,3 (A);5459,1 (A);5487,7 (A);5522,1 (A);5526,9 (A);5536,0 (A);5556,9 (A);5583,0 (A);5621,2 (A);5663,5 (A);5686,3 (A);5715,7 (A);5753,4 (A);5761,1 (A);5768,0 (A);5764,6 (A);5714,9 (A);5661,2 (A);5609,8 (A);5565,9 (A);5557,4 (A);5572,9 (A);5591,4 (A);5600,9 (A);5600,3 (A);5589,9 (A);5570,9 (A);5559,5 (A);5554,7 (A);5526,4 (A);5501,3 (A);5472,0 (A);5454,1 (A);5436,8 (A);5424,9 (A);5424,9 (A);5413,9 (A);5412,0 (A);5394,2 (A);5356,5 (A);5311,2 (A);5267,8 (A);5209,5 (A);5167,4 (A);5160,2 (A);5156,3 (A);5171,4 (A);5154,8 (A);5134,0 (A);5098,0 (A);5066,6 (A);5043,7 (A);5010,6 (A);4971,8 (A);4930,9 (A);4900,2 (A);4865,8 (A);4828,0 (A);4795,1 (A);4767,5 (A);4751,6 (A);4731,4 (A);4712,9 (A);4684,8 (A);4651,9 (A);4624,3 (A);4604,4 (A);4576,6 (A);4549,1 (A);4540,9 (A);4538,9 (A);4540,2 (A);4538,3 (A);4551,9 (A);4573,4 (A);4589,3 (A);4594,0 (A);4605,5 (A);4612,5 (A);4600,5 (A);4590,0 (A);4565,3 (A);4535,3 (A);4504,1 (A);4473,7 (A);4439,8 (A);4399,2 (A);4358,8 (A);4302,6 (A);4251,1 (A);4192,1 (A);4150,5 (A);4118,2 (A);4093,6 (A);4091,7 (A);4088,6 (A);4090,4 (A);4101,4 (A);4108,0 (A);4105,2 (A);4096,7 (A);4080,4 (A);4060,6 (A);4046,7 (A);4034,9 (A);4030,5 (A);4031,7 (A);4025,3 (A);4029,2 (A);4030,7 (A);4046,8 (A);4051,6 (A);4034,8 (A);4025,3 (A);4020,3 (A);4016,8 (A);4029,2 (A);4034,1 (A);4062,0 (A);4096,9 (A);4110,3 (A);4122,3 (A);4122,3 (A);4119,1 (A);4102,5 (A);4080,1 (A);4057,8 (A);4044,0 (A);4019,7 (A);3998,0 (A);3976,5 (A);3951,2 (A);3923,1 (A);3898,1 (A);3872,5 (A);3849,0 (A);3832,3 (A);3805,6 (A);3786,3 (A);3765,2 (A);3747,7 (A);3733,0 (A);3720,3 (A);3705,9 (A);3685,7 (A);3677,8 (A);3668,1 (A);3653,8 (A);3642,5 (A);3628,2 (A);3608,1 (A);3594,3 (A);3566,9 (A);3519,8 (A);3473,7 (A);3430,6 (A);3399,8 (A);3365,7 (A);3345,3 (A);3325,0 (A);3314,2 (A);3314,9 (A);3312,1 (A);3307,6 (A);3302,0 (A);3296,7 (A);3291,6 (A);3288,5 (A);3280,5 (A);3271,6 (A);3255,8 (A);3247,7 (A);3242,7 (A);3237,8 (A);3228,1 (A);3217,0 (A);3208,6 (A);3199,4 (A);3191,4 (A);3182,0 (A);3174,6 (A);3167,6 (A);3158,2 (A);3155,0 (A);3147,0 (A);3143,4 (A);3146,2 (A);3145,0 (A);3148,3 (A);3149,9 (A);3153,8 (A);3154,2 (A);3159,1 (A);3172,5 (A);3177,5 (A);3183,4 (A);3185,7 (A);3180,3 (A);3164,1 (A);3164,3 (A);3156,8 (A);3167,2 (SD);3175,2 (SD);3187,6 (SD);3198,2 (SD);3203,8 (SD);3214,1 (SD);3228,2 (SD);3235,8 (SD)
Emplois salariés trimestriels - Construction - Section F - CVS;001577236;09/03/2023 07:30;;1807,9 (A);1807,2 (A);1811,8 (A);1815,7 (A);1808,8 (A);1804,8 (A);1804,8 (A);1805,7 (A);1816,9 (A);1821,5 (A);1821,9 (A);1830,8 (A);1820,7 (A);1835,0 (A);1825,8 (A);1797,3 (A);1766,0 (A);1742,7 (A);1726,3 (A);1720,0 (A);1713,3 (A);1716,6 (A);1718,5 (A);1718,4 (A);1716,0 (A);1715,6 (A);1703,3 (A);1700,4 (A);1695,1 (A);1674,0 (A);1660,6 (A);1648,6 (A);1644,0 (A);1636,2 (A);1634,5 (A);1636,9 (A);1635,5 (A);1635,1 (A);1630,9 (A);1629,1 (A);1614,6 (A);1613,9 (A);1596,3 (A);1579,8 (A);1573,3 (A);1558,2 (A);1549,9 (A);1534,9 (A);1518,0 (A);1497,0 (A);1471,2 (A);1447,3 (A);1423,6 (A);1395,7 (A);1367,9 (A);1347,1 (A);1336,7 (A);1328,1 (A);1322,9 (A);1321,0 (A);1316,6 (A);1318,3 (A);1326,6 (A);1333,0 (A);1331,9 (A);1332,7 (A);1343,0 (A);1351,1 (A);1351,7 (A);1357,7 (A);1370,5 (A);1382,3 (A);1394,2 (A);1404,0 (A);1415,8 (A);1425,8 (A);1442,6 (A);1445,9 (A);1448,6 (A);1446,0 (A);1450,8 (A);1447,8 (A);1442,6 (A);1433,2 (A);1423,9 (A);1414,5 (A);1396,9 (A);1380,4 (A);1357,3 (A);1334,5 (A);1316,1 (A);1297,7 (A);1287,9 (A);1283,1 (A);1281,6 (A);1286,2 (A);1289,8 (A);1290,2 (A);1288,4 (A);1284,0 (A);1274,0 (A);1260,9 (A);1249,4 (A);1236,9 (A);1224,4 (A);1221,3 (A);1215,7 (A);1212,8 (A);1210,4 (A);1214,2 (A);1213,3 (A);1214,3 (A);1218,4 (A);1220,8 (A);1234,8 (A);1246,3 (A);1258,5 (A);1269,6 (A);1285,6 (A);1299,9 (A);1311,9 (A);1321,5 (A);1327,3 (A);1333,7 (A);1341,4 (A);1341,0 (A);1339,6 (A);1343,0 (A);1342,0 (A);1342,8 (A);1342,9 (A);1346,8 (A);1354,5 (A);1363,4 (A);1371,6 (A);1375,4 (A);1382,7 (A);1391,7 (A);1404,8 (A);1417,9 (A);1434,4 (A);1452,3 (A);1469,3 (A);1485,0 (A);1501,8 (A);1518,8 (A);1532,0 (A);1550,5 (A);1566,0 (A);1572,3 (A);1578,3 (A);1583,9 (A);1577,1 (A);1562,3 (A);1551,4 (A);1539,1 (A);1532,5 (A);1524,0 (A);1519,3 (A);1515,8 (A);1512,7 (A);1512,3 (A);1509,0 (A);1504,9 (A);1504,1 (A);1505,5 (A);1499,0 (A);1493,6 (A);1486,7 (A);1475,3 (A);1470,0 (A);1465,0 (A);1458,4 (A);1452,0 (A);1440,4 (A);1426,0 (A);1410,0 (A);1397,2 (A);1385,9 (A);1375,7 (A);1372,4 (A);1370,2 (A);1368,8 (A);1367,7 (A);1363,6 (A);1373,1 (A);1380,4 (A);1382,6 (A);1385,0 (A);1400,5 (A);1407,4 (A);1416,0 (A);1420,3 (A);1447,3 (A);1457,5 (A);1469,1 (A);1477,7 (A);1486,5 (A);1499,2 (A);1516,3 (A);1530,4 (A);1551,1 (SD);1560,5 (SD);1574,3 (SD);1581,4 (SD);1585,6 (SD);1587,9 (SD);1591,6 (SD);1592,4 (SD)
Emplois salariés trimestriels - Tertiaire marchand - Sections G, H, I, J, K, L, M, N, R, S, T - CVS;001577237;09/03/2023 07:30;;5320,0 (A);5312,0 (A);5346,7 (A);5399,6 (A);5453,9 (A);5509,1 (A);5535,5 (A);5589,3 (A);5648,4 (A);5690,2 (A);5737,3 (A);5794,2 (A);5851,2 (A);5911,1 (A);5946,4 (A);5962,0 (A);5964,3 (A);5990,4 (A);6016,7 (A);6043,7 (A);6096,5 (A);6142,9 (A);6203,4 (A);6264,3 (A);6307,7 (A);6355,1 (A);6397,0 (A);6461,1 (A);6524,4 (A);6563,5 (A);6613,2 (A);6632,8 (A);6670,2 (A);6698,6 (A);6744,3 (A);6774,4 (A);6789,8 (A);6819,4 (A);6814,8 (A);6836,1 (A);6874,2 (A);6906,3 (A);6887,1 (A);6877,6 (A);6950,7 (A);6975,9 (A);7033,2 (A);7070,8 (A);7093,3 (A);7117,3 (A);7141,3 (A);7163,9 (A);7171,0 (A);7170,1 (A);7164,6 (A);7176,2 (A);7167,8 (A);7193,2 (A);7221,5 (A);7249,9 (A);7292,7 (A);7321,1 (A);7355,2 (A);7379,7 (A);7390,0 (A);7422,2 (A);7478,8 (A);7515,2 (A);7571,3 (A);7642,2 (A);7690,9 (A);7755,5 (A);7839,2 (A);7923,3 (A);7973,0 (A);8012,8 (A);8125,2 (A);8138,8 (A);8210,0 (A);8233,1 (A);8264,7 (A);8285,7 (A);8279,1 (A);8297,9 (A);8315,8 (A);8331,3 (A);8363,3 (A);8357,4 (A);8313,0 (A);8298,7 (A);8286,5 (A);8329,8 (A);8353,3 (A);8407,2 (A);8462,1 (A);8550,8 (A);8576,8 (A);8613,1 (A);8654,6 (A);8686,2 (A);8738,4 (A);8768,5 (A);8808,3 (A);8828,8 (A);8898,6 (A);8968,1 (A);9009,8 (A);9067,8 (A);9177,4 (A);9264,9 (A);9398,9 (A);9458,6 (A);9519,9 (A);9640,7 (A);9754,5 (A);9883,0 (A);9963,5 (A);10076,3 (A);10223,3 (A);10343,0 (A);10421,9 (A);10533,4 (A);10587,1 (A);10640,6 (A);10663,4 (A);10727,8 (A);10744,2 (A);10761,9 (A);10774,8 (A);10770,2 (A);10769,3 (A);10767,7 (A);10804,4 (A);10805,4 (A);10839,3 (A);10862,5 (A);10910,1 (A);10951,7 (A);10984,6 (A);11022,9 (A);11071,2 (A);11081,1 (A);11170,5 (A);11234,9 (A);11278,2 (A);11387,4 (A);11422,4 (A);11482,2 (A);11511,3 (A);11570,7 (A);11513,1 (A);11473,3 (A);11384,2 (A);11281,0 (A);11255,9 (A);11265,4 (A);11313,8 (A);11339,3 (A);11370,8 (A);11421,3 (A);11469,6 (A);11510,0 (A);11538,7 (A);11531,7 (A);11550,3 (A);11539,0 (A);11533,8 (A);11503,1 (A);11478,3 (A);11490,9 (A);11460,6 (A);11496,1 (A);11514,8 (A);11512,2 (A);11537,2 (A);11524,4 (A);11554,0 (A);11564,4 (A);11614,6 (A);11662,7 (A);11705,5 (A);11753,9 (A);11801,8 (A);11855,9 (A);11895,5 (A);11979,5 (A);12065,8 (A);12111,5 (A);12197,2 (A);12261,2 (A);12292,5 (A);12282,7 (A);12315,0 (A);12418,6 (A);12454,2 (A);12493,0 (A);12555,9 (A);12116,7 (A);12133,5 (A);12465,2 (A);12386,5 (A);12511,7 (SD);12771,4 (SD);12949,8 (SD);13113,7 (SD);13197,4 (SD);13280,2 (SD);13349,9 (SD);13375,9 (SD)
Emplois salariés trimestriels - Industries extractives, énergie, eau, gestion des déchets et dépollution - A17 : DE - CVS;001577241;09/03/2023 07:30;;294,7 (A);294,9 (A);295,4 (A);295,7 (A);295,8 (A);296,1 (A);296,0 (A);296,5 (A);296,9 (A);297,2 (A);297,7 (A);298,3 (A);298,5 (A);299,4 (A);300,4 (A);301,0 (A);301,3 (A);301,4 (A);301,6 (A);301,8 (A);302,9 (A);303,9 (A);304,6 (A);305,5 (A);306,4 (A);307,5 (A);307,5 (A);308,5 (A);309,2 (A);310,0 (A);310,5 (A);310,9 (A);311,6 (A);312,3 (A);313,3 (A);314,3 (A);314,8 (A);315,9 (A);316,7 (A);317,6 (A);318,3 (A);319,2 (A);319,5 (A);320,4 (A);322,0 (A);324,3 (A);327,4 (A);330,0 (A);332,3 (A);333,6 (A);334,3 (A);335,1 (A);335,7 (A);335,5 (A);335,3 (A);334,9 (A);334,4 (A);334,3 (A);334,2 (A);334,1 (A);334,3 (A);333,2 (A);333,7 (A);332,6 (A);332,3 (A);332,4 (A);332,3 (A);332,3 (A);332,0 (A);331,9 (A);331,8 (A);332,1 (A);332,6 (A);333,4 (A);333,4 (A);333,8 (A);334,0 (A);333,4 (A);333,3 (A);332,3 (A);331,8 (A);331,6 (A);331,2 (A);330,7 (A);331,7 (A);331,8 (A);330,3 (A);330,2 (A);328,6 (A);327,5 (A);327,1 (A);327,8 (A);327,2 (A);329,9 (A);332,1 (A);334,3 (A);336,1 (A);336,9 (A);337,9 (A);338,2 (A);338,2 (A);339,4 (A);338,7 (A);339,4 (A);340,5 (A);341,9 (A);343,9 (A);344,1 (A);345,5 (A);344,3 (A);346,5 (A);346,0 (A);345,7 (A);345,9 (A);346,9 (A);346,8 (A);352,4 (A);355,7 (A);358,9 (A);362,1 (A);363,9 (A);366,6 (A);368,1 (A);369,2 (A);369,2 (A);369,0 (A);369,5 (A);370,4 (A);370,1 (A);367,5 (A);367,9 (A);367,5 (A);367,6 (A);368,2 (A);368,6 (A);369,7 (A);370,8 (A);370,6 (A);370,0 (A);369,5 (A);368,7 (A);369,0 (A);369,2 (A);369,6 (A);369,4 (A);371,9 (A);372,0 (A);372,3 (A);371,6 (A);371,9 (A);372,1 (A);370,7 (A);371,2 (A);370,5 (A);371,2 (A);373,0 (A);374,7 (A);373,3 (A);373,8 (A);372,4 (A);372,8 (A);374,0 (A);374,8 (A);375,1 (A);376,9 (A);378,6 (A);380,4 (A);381,4 (A);382,0 (A);382,5 (A);382,7 (A);382,4 (A);382,4 (A);382,9 (A);382,8 (A);382,7 (A);384,8 (A);384,0 (A);384,0 (A);384,4 (A);384,5 (A);384,3 (A);383,9 (A);383,5 (A);381,5 (A);378,5 (A);379,2 (A);379,4 (A);379,6 (A);378,9 (A);379,9 (A);380,4 (A);382,1 (A);383,4 (A);383,8 (A);384,0 (A);385,2 (A);386,4 (A);386,3 (A);388,2 (A);388,7 (A);391,1 (SD);392,7 (SD);394,3 (SD);394,6 (SD);395,1 (SD);397,0 (SD);399,5 (SD);401,3 (SD)
Emplois salariés trimestriels - Fabrication de denrées alimentaires, de boissons et de produits à base de tabac - A17 : C1 - CVS;001577242;09/03/2023 07:30;;514,1 (A);515,1 (A);521,3 (A);530,1 (A);521,6 (A);517,8 (A);517,7 (A);526,8 (A);527,2 (A);530,2 (A);528,0 (A);529,2 (A);533,7 (A);533,9 (A);533,1 (A);530,6 (A);532,9 (A);534,6 (A);533,3 (A);531,2 (A);535,3 (A);535,6 (A);536,0 (A);536,7 (A);540,1 (A);544,0 (A);547,0 (A);549,6 (A);554,9 (A);556,5 (A);556,6 (A);557,7 (A);559,1 (A);561,8 (A);564,1 (A);565,4 (A);566,6 (A);568,0 (A);569,7 (A);568,3 (A);569,5 (A);572,3 (A);571,6 (A);569,3 (A);573,8 (A);572,5 (A);577,1 (A);580,8 (A);579,8 (A);579,6 (A);581,0 (A);583,9 (A);584,1 (A);584,3 (A);584,2 (A);584,5 (A);582,8 (A);580,8 (A);578,7 (A);579,3 (A);579,9 (A);580,0 (A);580,5 (A);579,0 (A);580,9 (A);580,5 (A);581,5 (A);581,2 (A);579,3 (A);579,4 (A);579,8 (A);581,1 (A);580,5 (A);580,4 (A);582,2 (A);585,3 (A);582,4 (A);582,9 (A);583,3 (A);582,8 (A);582,4 (A);581,8 (A);581,2 (A);580,0 (A);578,9 (A);576,8 (A);574,2 (A);572,2 (A);570,2 (A);569,3 (A);569,1 (A);568,8 (A);569,2 (A);569,2 (A);569,1 (A);568,7 (A);568,3 (A);568,4 (A);568,6 (A);568,4 (A);568,8 (A);569,7 (A);569,6 (A);568,1 (A);571,2 (A);575,3 (A);579,0 (A);578,9 (A);581,5 (A);576,4 (A);584,3 (A);595,4 (A);586,1 (A);587,5 (A);588,0 (A);588,5 (A);589,2 (A);587,0 (A);595,4 (A);605,8 (A);599,4 (A);596,8 (A);600,5 (A);606,0 (A);606,2 (A);605,1 (A);604,8 (A);606,1 (A);607,4 (A);608,2 (A);610,8 (A);612,2 (A);609,5 (A);609,1 (A);605,4 (A);601,3 (A);600,5 (A);598,3 (A);596,9 (A);596,0 (A);594,3 (A);592,3 (A);592,5 (A);592,9 (A);587,5 (A);587,8 (A);585,3 (A);584,5 (A);583,3 (A);582,5 (A);579,1 (A);577,3 (A);575,1 (A);573,4 (A);573,9 (A);572,7 (A);572,6 (A);571,8 (A);571,6 (A);571,0 (A);572,4 (A);572,4 (A);572,5 (A);572,2 (A);572,1 (A);572,6 (A);572,2 (A);572,1 (A);570,1 (A);570,0 (A);566,6 (A);568,9 (A);569,5 (A);569,4 (A);569,6 (A);569,9 (A);570,8 (A);571,2 (A);571,7 (A);573,3 (A);575,9 (A);578,4 (A);579,6 (A);580,3 (A);581,2 (A);582,7 (A);585,7 (A);586,3 (A);587,7 (A);589,9 (A);589,6 (A);588,4 (A);589,7 (A);594,6 (A);596,4 (A);598,5 (A);602,2 (A);600,7 (A);597,0 (A);605,9 (A);607,2 (A);615,5 (SD);621,8 (SD);629,0 (SD);634,9 (SD);636,1 (SD);636,6 (SD);637,1 (SD);638,6 (SD)
Emplois salariés trimestriels - Cokéfaction et raffinage - A17 : C2 - CVS;001577243;09/03/2023 07:30;;36,3 (A);35,8 (A);35,5 (A);35,1 (A);34,6 (A);34,3 (A);33,7 (A);33,4 (A);33,0 (A);32,5 (A);32,2 (A);31,9 (A);31,4 (A);31,3 (A);31,1 (A);30,9 (A);30,8 (A);30,6 (A);30,4 (A);30,2 (A);30,2 (A);30,1 (A);29,8 (A);29,7 (A);29,5 (A);29,5 (A);29,2 (A);29,1 (A);28,9 (A);28,8 (A);28,7 (A);28,5 (A);28,4 (A);28,2 (A);28,2 (A);28,0 (A);27,9 (A);27,8 (A);27,7 (A);27,7 (A);27,6 (A);27,6 (A);27,5 (A);27,5 (A);27,6 (A);27,9 (A);28,4 (A);28,7 (A);29,1 (A);29,2 (A);29,1 (A);29,0 (A);28,9 (A);28,6 (A);28,3 (A);27,9 (A);27,5 (A);27,2 (A);26,9 (A);26,6 (A);26,3 (A);25,7 (A);25,6 (A);25,0 (A);24,7 (A);24,4 (A);24,1 (A);23,8 (A);23,5 (A);23,1 (A);22,8 (A);22,5 (A);22,2 (A);21,9 (A);21,6 (A);21,4 (A);21,0 (A);20,8 (A);20,6 (A);20,3 (A);20,0 (A);19,7 (A);19,3 (A);19,0 (A);19,3 (A);19,1 (A);18,9 (A);18,7 (A);18,5 (A);18,2 (A);18,2 (A);18,2 (A);18,1 (A);18,1 (A);17,8 (A);17,5 (A);17,3 (A);17,1 (A);17,1 (A);17,1 (A);17,1 (A);17,0 (A);16,6 (A);16,3 (A);16,0 (A);15,6 (A);15,1 (A);14,8 (A);14,1 (A);13,6 (A);13,1 (A);12,3 (A);11,9 (A);11,9 (A);12,1 (A);12,2 (A);12,4 (A);12,6 (A);13,0 (A);13,2 (A);13,2 (A);13,1 (A);12,9 (A);12,8 (A);12,7 (A);12,9 (A);12,9 (A);13,2 (A);13,4 (A);13,5 (A);13,7 (A);13,8 (A);14,0 (A);13,9 (A);14,1 (A);14,2 (A);14,2 (A);14,1 (A);13,7 (A);13,4 (A);13,3 (A);13,4 (A);13,5 (A);13,7 (A);13,7 (A);13,6 (A);13,4 (A);13,1 (A);12,9 (A);12,8 (A);12,8 (A);12,7 (A);12,6 (A);12,2 (A);12,0 (A);11,8 (A);11,7 (A);11,5 (A);11,5 (A);11,4 (A);11,3 (A);11,3 (A);11,0 (A);10,8 (A);10,8 (A);10,6 (A);10,4 (A);10,4 (A);10,2 (A);10,1 (A);9,7 (A);9,6 (A);9,6 (A);9,5 (A);9,5 (A);9,4 (A);9,4 (A);9,3 (A);9,3 (A);9,3 (A);9,2 (A);9,2 (A);9,2 (A);9,1 (A);9,1 (A);9,1 (A);9,1 (A);9,0 (A);9,0 (A);8,9 (A);8,9 (A);8,9 (A);8,9 (A);9,0 (A);9,0 (A);9,0 (A);9,0 (A);8,9 (A);8,9 (A);8,9 (A);8,9 (A);8,8 (SD);8,8 (SD);8,7 (SD);8,7 (SD);8,7 (SD);8,6 (SD);8,6 (SD);8,6 (SD)
