Année;Trimestre;Dernier jour du mois;Durée de contrat;Nature de contrat;DPAE (brut);DPAE (cvs)
2011;1;2011-01-31;Contrat de plus d'un mois;CDI;350862;276849
2011;1;2011-02-28;Contrat de plus d'un mois;CDD de plus d'un mois;217198;353473
2011;1;2011-03-31;Contrat de plus d'un mois;CDD de plus d'un mois;272930;334864
2011;2;2011-04-30;Contrat de plus d'un mois;CDI;275645;284502
2011;2;2011-06-30;Contrat de plus d'un mois;CDD de plus d'un mois;387889;340716
2011;3;2011-07-31;Contrat de plus d'un mois;CDI;254253;282733
2011;4;2011-10-31;Contrat de plus d'un mois;CDI;346755;285910
2012;1;2012-01-31;Contrat de plus d'un mois;CDI;353357;271970
2012;1;2012-02-29;Contrat de plus d'un mois;CDI;233812;265092
2012;1;2012-03-31;Contrat de plus d'un mois;CDD de plus d'un mois;266620;340632
2012;2;2012-04-30;Contrat de plus d'un mois;CDI;264858;266552
2012;2;2012-05-31;Contrat de plus d'un mois;CDD de plus d'un mois;270880;326925
2012;2;2012-05-31;Contrat de plus d'un mois;CDI;223812;264273
2012;3;2012-07-31;Contrat de plus d'un mois;CDD de plus d'un mois;591544;324574
2012;3;2012-08-31;Contrat de plus d'un mois;CDD de plus d'un mois;223887;325375
2012;3;2012-09-30;Contrat de plus d'un mois;CDD de plus d'un mois;548398;324496
2012;3;2012-09-30;Contrat de plus d'un mois;CDI;381325;257479
2012;4;2012-11-30;Contrat de plus d'un mois;CDD de plus d'un mois;257636;305969
2012;4;2012-11-30;Contrat de plus d'un mois;CDI;243499;250466
2013;1;2013-02-28;Contrat de plus d'un mois;CDD de plus d'un mois;198604;323502
2013;2;2013-05-31;Contrat de plus d'un mois;CDD de plus d'un mois;268306;322187
2013;2;2013-06-30;Contrat de plus d'un mois;CDI;225494;249004
2013;3;2013-07-31;Contrat de plus d'un mois;CDD de plus d'un mois;592168;328716
2013;3;2013-08-31;Contrat de plus d'un mois;CDD de plus d'un mois;220742;320159
2013;3;2013-09-30;Contrat de plus d'un mois;CDD de plus d'un mois;585172;329211
2013;3;2013-09-30;Contrat de plus d'un mois;CDI;387988;253031
2013;4;2013-10-31;Contrat de plus d'un mois;CDI;303482;249674
2014;1;2014-01-31;Contrat de plus d'un mois;CDI;315967;250548
2014;1;2014-02-28;Contrat de plus d'un mois;CDD de plus d'un mois;200209;326156
2014;1;2014-02-28;Contrat de plus d'un mois;CDI;217284;249565
2014;1;2014-03-31;Contrat de plus d'un mois;CDD de plus d'un mois;259987;322454
2014;2;2014-04-30;Contrat de plus d'un mois;CDD de plus d'un mois;304234;324541
